artist_names,track_name,peak_rank,weeks_on_chart,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,duration_ms
Kendrick Lamar,HUMBLE.,1,96,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,150.011,177000
GAYLE,abcdefu,1,19,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,121.932,168602
Jung Kook,Stay Alive (Prod. SUGA of BTS),10,1,0.512,0.76,2,-5.889,0,0.0682,0.299,0.0,0.103,130.096,210928
Harry Styles,Daylight,10,2,0.686,0.445,0,-7.189,1,0.0398,0.484,0.00144,0.175,145.5,164533
Steve Lacy,Bad Habit,10,5,0.686,0.494,1,-7.093,1,0.0355,0.613,5.8e-05,0.402,168.946,232067
"Post Malone, Doja Cat",I Like You (A Happier Song) (with Doja Cat),10,10,0.733,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,100.964,192841
"Future, Drake, Tems",WAIT FOR U (feat. Drake & Tems),10,15,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,83.389,189893
Bad Bunny,Un Ratito,10,14,0.787,0.546,0,-7.094,0,0.0532,0.305,4.55e-05,0.122,93.05,176936
Drake,Falling Back,10,1,0.718,0.758,10,-8.29,1,0.0703,0.238,0.00653,0.11,118.989,266179
"Drake, 21 Savage, Project Pat",Knife Talk (with 21 Savage ft. Project Pat),10,29,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,145.887,242966
"Aventura, Bad Bunny",Volví,10,34,0.725,0.86,1,-3.726,1,0.182,0.422,0.000284,0.0674,175.896,230125
The Weeknd,Out of Time,10,2,0.65,0.76,0,-4.422,0,0.0446,0.255,0.0,0.339,93.057,214194
"Ana Castela, Melody, Dj Chris No Beat",Pipoco,100,4,0.774,0.742,8,-4.178,1,0.0766,0.473,0.000472,0.342,134.991,194023
V,Christmas Tree,100,2,0.437,0.384,5,-8.384,1,0.042,0.699,2.33e-05,0.121,139.009,209947
Guns N' Roses,Sweet Child O' Mine,101,10,0.454,0.91,6,-7.766,1,0.0448,0.0866,0.0996,0.116,125.116,354520
"NAV, Lil Baby, Travis Scott",Never Sleep (with Lil Baby feat. Travis Scott),101,2,0.819,0.651,1,-5.829,1,0.169,0.00639,0.0,0.122,139.957,185786
Coldplay,Yellow,101,66,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,173.372,266773
"Diane Guerrero, Stephanie Beatriz",What Else Can I Do?,101,2,0.718,0.709,4,-5.568,1,0.039,0.258,0.0,0.101,119.974,179427
TREASURE,DARARI,102,4,0.716,0.638,0,-6.87,1,0.0392,0.486,0.0,0.0702,84.955,220716
Beyoncé,THIQUE,102,1,0.823,0.536,5,-10.123,0,0.319,0.0616,0.0143,0.326,128.955,244792
Lil Baby,Right On,103,1,0.535,0.618,2,-5.668,1,0.382,0.0245,0.0,0.103,165.991,213976
Arctic Monkeys,I Wanna Be Yours,103,5,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,67.528,183956
IVE,ELEVEN,103,7,0.828,0.731,9,-3.033,1,0.111,0.0617,0.0,0.048,119.978,178453
Sebastian Yatra,Dos Oruguitas,104,2,0.423,0.355,0,-10.565,1,0.0454,0.761,0.0,0.0915,93.788,214613
"Omah Lay, Justin Bieber",attention,104,1,0.817,0.72,5,-8.134,0,0.0809,0.172,0.000726,0.109,119.989,180563
Arctic Monkeys,Why'd You Only Call Me When You're High?,104,33,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,92.004,161124
MC Rogerinho,Botadinha Saliente,105,1,0.985,0.698,0,-2.531,1,0.0341,0.142,0.0,0.321,119.959,158000
Tears For Fears,Everybody Wants To Rule The World,105,10,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,112.067,251489
Paulo Londra,Plan A,106,1,0.583,0.834,0,-4.875,1,0.0444,0.0495,0.0,0.0658,173.935,178203
Gusttavo Lima,Bloqueado - Ao Vivo,106,4,0.828,0.721,1,-4.274,0,0.0558,0.153,0.0,0.547,129.092,168689
Anitta,Boys Don't Cry,107,1,0.589,0.842,5,-4.86,1,0.0372,0.00178,0.0,0.113,164.163,136012
"Mari Fernandez, Marcynho Sensação",Parada Louca,107,3,0.693,0.936,7,-1.322,1,0.0524,0.302,0.0,0.339,166.034,179032
Hozier,Take Me To Church,108,75,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,128.945,241688
"Labrinth, Zendaya",All For Us - from the HBO Original Series Euphoria,108,3,0.348,0.652,3,-7.145,1,0.0931,0.0165,0.000264,0.33,70.956,192987
SALES,Pope Is a Rockstar,108,5,0.725,0.446,4,-8.958,0,0.0287,0.85,0.243,0.107,90.024,187333
The Police,Every Breath You Take,109,61,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,117.401,253920
"Shae Gill, Ali Sethi",Pasoori,109,16,0.714,0.596,11,-6.206,0,0.043,0.0657,0.0,0.0625,91.991,224147
Nirvana,Smells Like Teen Spirit,109,63,0.489,0.918,1,-4.502,1,0.0554,3.53e-05,7.64e-05,0.0908,116.731,300893
KALUSH,Stefania (Kalush Orchestra),109,1,0.832,0.817,2,-5.182,1,0.0422,0.145,0.00169,0.115,104.985,179546
Luísa Sonza,CACHORRINHAS,109,2,0.709,0.696,8,-4.837,0,0.275,0.16,0.0,0.248,98.119,134937
Justin Bieber,Ghost,11,27,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,153.96,153190
Dove Cameron,Boyfriend,11,6,0.345,0.612,7,-6.543,0,0.0608,0.232,0.0,0.194,179.773,153000
Bad Bunny,Yo No Soy Celoso,11,14,0.872,0.588,0,-6.276,1,0.0492,0.275,0.0,0.17,142.004,230704
Jaymes Young,Infinity,11,21,0.671,0.673,11,-6.941,0,0.0444,0.148,5.29e-05,0.304,121.963,237720
Taylor Swift,august,11,7,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,89.937,261923
Queen,Bohemian Rhapsody - Remastered 2011,11,182,0.414,0.404,0,-9.928,0,0.0499,0.271,0.0,0.3,71.105,354320
Harry Styles,Grapejuice,11,2,0.645,0.721,5,-4.394,1,0.0336,0.357,0.143,0.204,182.928,191959
The Weeknd,Is There Someone Else?,11,2,0.702,0.586,9,-7.83,0,0.0313,0.0388,7.27e-05,0.156,134.951,199111
BTS,Run BTS,11,1,0.724,0.818,8,-3.747,1,0.168,0.0201,0.0,0.0358,77.004,204940
Kendrick Lamar,United In Grief,11,3,0.529,0.845,8,-8.142,1,0.404,0.244,0.0,0.143,85.63,255378
Olivia Rodrigo,favorite crime,11,31,0.369,0.272,9,-10.497,1,0.0364,0.866,0.0,0.147,172.929,152667
Lady Gaga,Hold My Hand,110,10,0.53,0.612,7,-4.286,1,0.0331,0.0403,0.0,0.393,148.009,225280
"Dímelo Flow, Dalex, Sech, Justin Quiles, Arcangel, De La Ghetto, Lenny Tavárez",Se Le Ve,110,12,0.562,0.755,7,-4.367,0,0.112,0.0967,2.25e-05,0.143,83.997,277693
"Gabry Ponte, LUM!X, Prezioso",Thunder,110,16,0.67,0.896,1,-4.673,1,0.058,0.0342,3.21e-05,0.344,101.216,160000
John Legend,All of Me,110,145,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,119.93,269560
Imagine Dragons,Sharks,111,2,0.927,0.642,10,-4.466,0,0.0657,0.00791,3.62e-05,0.279,123.969,190883
Bruno Mars,Locked out of Heaven,111,12,0.728,0.697,5,-4.125,1,0.0456,0.0556,0.0,0.282,143.986,233653
"Machine Gun Kelly, WILLOW",emo girl (feat. WILLOW),111,2,0.412,0.881,2,-3.502,1,0.087,0.00039,5.82e-05,0.923,165.012,159096
One Direction,Night Changes,111,11,0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,120.001,226600
Irama,Ovunque Sarai,112,1,0.359,0.434,0,-6.068,1,0.0305,0.582,0.0,0.205,79.133,200429
Sia,Unstoppable,112,6,0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,173.799,217747
Mr.Kitty,After Dark,112,17,0.579,0.601,8,-10.492,1,0.0322,0.0673,0.414,0.0778,140.019,257147
Charlie Puth,That's Hilarious,112,1,0.714,0.442,6,-5.909,1,0.0605,0.742,0.0,0.114,108.039,146855
Edison Lighthouse,Love Grows (Where My Rosemary Goes),112,3,0.568,0.824,9,-4.613,1,0.0299,0.403,0.0,0.0855,108.625,174760
"Duki, De La Ghetto, Quevedo",Si Quieren Frontear,113,1,0.789,0.837,10,-3.247,1,0.23,0.125,0.0,0.209,81.536,200337
Playboi Carti,Sky,113,14,0.785,0.903,2,-4.184,1,0.21,0.258,0.0,0.169,139.98,193234
Stromae,L’enfer,113,1,0.4,0.547,2,-8.381,0,0.177,0.33,0.0,0.241,177.595,189720
J. Cole,No Role Modelz,113,35,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,100.028,292799
"Machine Gun Kelly, Lil Wayne",ay! (feat. Lil Wayne),114,1,0.741,0.616,2,-6.686,1,0.034,0.052,5.86e-05,0.0705,147.008,124188
"Marshmello, Khalid",Numb,114,9,0.912,0.774,0,-4.673,0,0.0455,0.121,0.0127,0.101,119.966,155589
Beyoncé,PURE/HONEY,114,1,0.857,0.558,1,-7.888,1,0.134,0.0122,4.8e-05,0.288,123.973,288255
Red Velvet,Feel My Rhythm,114,1,0.412,0.94,1,-2.171,1,0.215,0.0648,0.0,0.358,157.964,210253
Pharrell Williams,Just A Cloud Away,115,2,0.89,0.46,2,-8.155,1,0.0359,0.432,0.0,0.11,112.555,176078
"Post Malone, Fleet Foxes",Love/Hate Letter To Alcohol (with Fleet Foxes),115,1,0.475,0.569,4,-7.073,0,0.0343,0.037,0.00129,0.232,108.007,183816
"Jax Jones, MNEK",Where Did You Go? (feat. MNEK),116,7,0.763,0.782,7,-4.541,0,0.0346,0.182,7.08e-06,0.293,127.034,177689
"Coolio, L.V.",Gangsta's Paradise,116,22,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,79.975,240693
OneRepublic,Counting Stars,117,54,0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.118,122.016,257267
Arctic Monkeys,Do I Wanna Know?,117,34,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,85.03,272394
Leah Kate,10 Things I Hate About You,117,6,0.544,0.786,8,-2.97,1,0.0501,0.00991,0.0,0.169,153.967,157138
Vundabar,Alien Blues,118,4,0.467,0.757,3,-5.093,1,0.033,0.0807,0.908,0.0876,82.282,155933
Muni Long,Hrs & Hrs,119,1,0.511,0.525,8,-4.595,0,0.183,0.604,0.0,0.111,139.885,204317
Olivia Rodrigo,happier,12,44,0.395,0.443,6,-9.72,1,0.133,0.765,9.67e-06,0.0839,168.924,175933
Conan Gray,Heather,12,87,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,102.078,198040
Beyoncé,BREAK MY SOUL,12,8,0.693,0.887,1,-5.039,0,0.0795,0.0581,2.71e-06,0.27,114.942,278282
"Gesaffelstein, The Weeknd",Lost in the Fire (feat. The Weeknd),12,21,0.658,0.671,2,-12.21,1,0.0363,0.0933,0.000927,0.115,100.966,202093
"Tainy, Bad Bunny, Julieta Venegas",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),12,25,0.639,0.703,4,-6.33,0,0.0794,0.0889,1.78e-06,0.0865,169.888,207301
"Drake, WizKid, Kyla",One Dance,12,120,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,103.967,173987
"Mora, Feid",LA INOCENTE,121,6,0.757,0.789,5,-3.46,0,0.0583,0.307,0.0,0.0717,91.911,202174
Polo G,Distraction,121,1,0.713,0.689,11,-5.99,1,0.255,0.16,0.0,0.136,156.934,171319
Danny Ocean,Fuera del mercado,122,1,0.453,0.673,8,-5.649,1,0.144,0.32,0.0,0.131,92.06,159849
Vance Joy,Riptide,122,64,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,101.654,204280
"Nicki Minaj, Lil Baby",Bussin,122,1,0.893,0.699,11,-8.059,1,0.0517,0.0576,3.02e-06,0.128,139.972,136761
Lana Del Rey,Summertime Sadness,122,3,0.568,0.646,1,-6.793,0,0.0332,0.0464,0.0,0.121,111.945,264773
"Davi Kneip, Mc Frog, Dj Gabriel do Borel, Luísa Sonza",sentaDONA (Remix) s2,123,1,0.925,0.454,3,-3.533,0,0.273,0.252,4.19e-06,0.128,135.02,125245
Morgan Wallen,Thought You Should Know,123,1,0.529,0.695,6,-6.174,1,0.0278,0.488,1.24e-05,0.142,139.993,215572
The Goo Goo Dolls,Iris,124,5,0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,155.925,289533
NIKI,Every Summertime,124,2,0.628,0.676,6,-4.227,1,0.0424,0.393,6.94e-05,0.0978,78.996,215687
"Zé Felipe, MC Mari",Bandido,125,4,0.882,0.721,11,-2.851,0,0.0512,0.0958,0.0,0.0989,120.018,132045
Seafret,Atlantis,126,3,0.4,0.479,8,-7.989,0,0.0308,0.0529,2.14e-06,0.115,166.159,229173
"David Guetta, Becky Hill, Ella Henderson",Crazy What Love Can Do,127,14,0.601,0.713,4,-3.758,0,0.0449,0.0282,0.0,0.158,122.872,169756
C. Tangana,Demasiadas Mujeres,127,3,0.658,0.453,9,-7.378,0,0.39,0.131,0.0002,0.0848,126.043,153960
"Kevin Gates, Juicy J",Thinking with My Dick (feat. Juicy J),128,2,0.77,0.699,0,-6.59,1,0.199,0.0596,1.65e-05,0.17,81.003,165315
"Grupo Marca Registrada, Junior H",El Rescate,129,3,0.794,0.594,7,-8.698,0,0.139,0.283,0.000381,0.109,99.238,160897
"Dj Guuga, Wesley Safadão, Zé Felipe",Depende,129,1,0.886,0.909,2,-1.84,0,0.0642,0.125,0.0,0.0755,130.027,156923
"DJ Matt D, Menor MC, MC GP, Vulgo FK",Pandora,129,3,0.688,0.458,1,-9.138,0,0.588,0.14,0.0,0.407,124.553,177000
Travis Scott,goosebumps,13,226,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,130.049,243837
Avicii,Wake Me Up,13,68,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,124.08,247427
OneRepublic,I Ain't Worried,13,10,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,139.994,148486
Manuel Turizo,La Bachata,13,6,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,124.98,162638
"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),13,3,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,94.996,206071
The Weeknd,Gasoline,13,2,0.728,0.741,6,-7.075,0,0.0473,0.000582,0.00206,0.33,123.006,212166
Tate McRae,you broke me first,13,78,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,124.148,169266
"Shakira, Rauw Alejandro",Te Felicito,13,16,0.695,0.636,5,-4.654,1,0.317,0.234,0.0,0.081,174.14,172235
Harry Styles,Cinema,13,2,0.829,0.644,9,-7.696,0,0.0427,0.354,0.0511,0.0944,105.993,243508
"Morat, Duki",París,130,2,0.582,0.804,11,-4.155,1,0.0389,0.0493,0.0,0.0624,138.014,182188
Taylor Swift,Blank Space,130,20,0.76,0.703,5,-5.412,1,0.054,0.103,0.0,0.0913,95.997,231827
"Dominic Fike, Zendaya","Elliot's Song - From ""Euphoria"" An HBO Original Series",130,1,0.394,0.327,4,-14.291,1,0.114,0.849,0.0,0.125,93.358,150320
Rema,Calm Down,130,5,0.814,0.789,11,-6.29,1,0.0405,0.365,0.000502,0.137,107.003,219669
"Ed Sheeran, Lil Baby",2step (feat. Lil Baby),131,1,0.693,0.643,4,-5.867,0,0.0828,0.138,0.0,0.108,95.055,163450
"Kehlani, Justin Bieber",up at night (feat. justin bieber),131,1,0.563,0.756,0,-3.852,0,0.0579,0.196,0.0,0.245,100.012,182227
Future,LOVE YOU BETTER,131,1,0.709,0.357,5,-9.289,1,0.214,0.478,0.000294,0.112,75.494,129480
Bruno Mars,Just the Way You Are,133,22,0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,109.021,220734
Chase Atlantic,Swim,134,1,0.666,0.542,8,-6.429,1,0.0392,0.27,0.0,0.0765,120.134,228787
Ghost,Mary On A Cross,135,1,0.466,0.9,11,-4.469,1,0.0447,0.000235,0.00104,0.103,130.02,244804
"Alesso, Katy Perry",When I’m Gone (with Katy Perry),135,3,0.685,0.886,0,-4.179,1,0.034,0.028,0.0,0.481,125.034,161267
"Eminem, Snoop Dogg",From The D 2 The LBC (with Snoop Dogg),135,1,0.73,0.785,9,-7.986,0,0.243,0.105,0.0,0.0445,82.037,215120
Cigarettes After Sex,Apocalypse,135,5,0.369,0.467,5,-9.018,1,0.0274,0.0194,0.46,0.109,94.473,290147
David Kushner,Miserable Man,135,1,0.632,0.349,10,-10.289,1,0.0346,0.926,7.5e-05,0.294,109.981,232992
"Maroon 5, Wiz Khalifa",Payphone,136,14,0.743,0.752,4,-4.813,1,0.0414,0.0188,0.0,0.287,110.015,231173
NewJeans,Attention,137,1,0.811,0.648,10,-3.684,0,0.0368,0.236,0.0,0.0761,104.988,180067
WILLOW,Wait a Minute!,138,1,0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-05,0.0943,101.003,196520
"Eminem, Dido",Stan,138,6,0.78,0.768,6,-4.325,0,0.238,0.0371,2.34e-06,0.518,80.063,404107
Teto,Fim de Semana no Rio,139,1,0.867,0.494,1,-6.514,0,0.084,0.118,0.0,0.101,118.868,165882
"Future, Gunna, Young Thug",FOR A NUT (feat. Gunna & Young Thug),139,1,0.824,0.667,10,-6.603,0,0.0814,0.00321,2.65e-06,0.0956,82.037,207933
"Kendrick Lamar, Sampha",Father Time (feat. Sampha),14,2,0.514,0.779,10,-4.365,0,0.344,0.181,0.0,0.099,152.869,222497
The Weeknd,How Do I Make You Love Me?,14,2,0.805,0.498,7,-7.927,0,0.0737,0.0203,2.37e-05,0.085,121.006,214215
Harry Styles,Satellite,14,2,0.576,0.457,0,-6.473,1,0.0304,0.143,3.05e-05,0.0917,138.984,218577
"Bad Bunny, Daddy Yankee",La Santa,14,23,0.744,0.868,1,-4.524,1,0.047,0.0326,0.0,0.0822,93.037,206420
"CKay, Dj Yo!, AX'EL",love nwantiti (feat. Dj Yo! & AX'EL) - Remix,14,27,0.579,0.596,8,-4.823,1,0.0561,0.436,0.0938,0.0549,119.9,188369
Harry Styles,Sign of the Times,14,39,0.516,0.595,5,-4.63,1,0.0313,0.0275,0.0,0.109,119.972,340707
Bad Bunny,Me Fui de Vacaciones,14,14,0.714,0.645,10,-5.493,1,0.0514,0.229,0.00083,0.0942,85.046,180930
"Gunna, Future, Young Thug",pushin P (feat. Young Thug),14,11,0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,77.502,136267
Elley Duhé,MIDDLE OF THE NIGHT,14,13,0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0,0.116,185.727,184448
"Nio Garcia, J Balvin, Bad Bunny",AM Remix,14,30,0.743,0.655,6,-5.015,0,0.159,0.114,0.0,0.0764,172.031,261335
"Tiago PZK, Ozuna",Nos Comemos (feat. Ozuna),140,2,0.827,0.819,6,-3.701,1,0.052,0.1,0.0,0.089,92.017,191087
"L7NNON, DJ Biel do Furduncinho, Bianca",Ai Preto,140,5,0.953,0.57,6,-5.149,1,0.245,0.537,0.0,0.0993,129.947,131583
My Chemical Romance,The Foundations of Decay,140,1,0.363,0.67,1,-6.652,0,0.0552,0.000582,0.548,0.317,150.15,360760
"Gunna, Lil Baby",25k jacket (feat. Lil Baby),141,1,0.903,0.537,5,-6.854,0,0.283,0.16,0.0,0.129,115.013,120000
Sidhu Moose Wala,295,141,2,0.557,0.794,11,-5.698,0,0.2,0.179,0.0,0.106,91.366,270000
JVKE,this is what falling in love feels like,142,3,0.424,0.438,11,-5.53,1,0.0553,0.617,0.0,0.0837,128.983,120308
"Kendrick Lamar, Jay Rock",Money Trees,143,8,0.716,0.531,7,-7.355,1,0.122,0.0703,0.0,0.224,71.994,386907
"King Von, 21 Savage",Don't Play That,144,1,0.947,0.605,10,-8.621,0,0.346,0.0748,7.54e-06,0.0901,129.988,133613
"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),144,2,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,78.558,180387
Gunna,alotta cake,146,1,0.895,0.543,11,-6.766,0,0.298,0.181,0.0,0.12,120.078,193987
Victor Cibrian,En El Radio Un Cochinero,148,1,0.696,0.623,6,-8.738,0,0.0438,0.466,8.61e-06,0.0983,154.028,223431
Beyoncé,ALL UP IN YOUR MIND,148,1,0.744,0.577,9,-7.228,1,0.0631,0.0672,3.06e-06,0.178,135.869,169820
BIGBANG,Still Life,148,1,0.68,0.584,8,-4.457,1,0.034,0.443,0.0,0.0628,118.06,188369
LE SSERAFIM,FEARLESS,149,4,0.863,0.62,7,-7.167,1,0.135,0.0508,0.00324,0.129,103.971,168437
"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),149,22,0.633,0.927,2,-4.468,1,0.0839,0.0267,0.0,0.0986,146.097,258432
Kevin Kaarl,San Lucas,149,5,0.577,0.363,7,-12.378,1,0.0263,0.86,0.000282,0.0868,91.511,247197
"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,15,48,0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,122.98,169153
Central Cee,Doja,15,3,0.911,0.573,6,-7.43,1,0.288,0.38,0.0,0.403,140.04,97393
Oliver Tree,Life Goes On,15,20,0.7,0.49,0,-5.187,1,0.076,0.186,0.0,0.117,79.982,161803
"benny blanco, BTS, Snoop Dogg",Bad Decisions (with BTS & Snoop Dogg),15,1,0.762,0.861,0,-3.296,1,0.0955,0.0185,0.0,0.264,120.048,172714
Harry Styles,Love Of My Life,15,2,0.555,0.536,7,-8.233,1,0.0452,0.669,0.0,0.0623,118.057,191638
Bad Bunny,Neverita,15,14,0.876,0.498,10,-7.511,1,0.0478,0.0706,0.0,0.143,122.016,173119
"Doja Cat, The Weeknd",You Right,15,39,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,128.986,186173
LF SYSTEM,Afraid To Feel,150,5,0.578,0.912,1,-3.929,1,0.114,0.0166,0.00362,0.273,127.87,177525
"Tiësto, Charli XCX",Hot In It,150,1,0.748,0.841,7,-5.08,1,0.177,0.00445,1.33e-06,0.0413,123.045,129817
La rappresentante di lista,Ciao Ciao,151,1,0.747,0.819,4,-4.602,0,0.134,0.125,2.61e-06,0.331,117.994,184311
Beyoncé,AMERICA HAS A PROBLEM,152,1,0.789,0.614,1,-6.491,1,0.0579,0.00348,0.00152,0.283,126.035,198898
Taylor Swift,Carolina - From The Motion Picture “Where The Crawdads Sing”,152,1,0.476,0.189,11,-13.777,0,0.0329,0.904,4.52e-06,0.254,115.851,264439
ROSALÍA,CHICKEN TERIYAKI,152,1,0.788,0.4,2,-6.454,1,0.115,0.454,0.000141,0.0686,97.936,122227
"MC Tairon, Mc Vitin Da Igrejinha, Dj Win",Baile no Morro,154,3,0.714,0.404,3,-7.903,0,0.453,0.457,0.0,0.0701,130.088,140308
Felipe Amorim,No Ouvidinho,154,1,0.885,0.834,3,-3.374,1,0.0394,0.403,3.22e-05,0.0865,124.018,183871
Stephanie Beatriz,Waiting On A Miracle,155,1,0.48,0.554,1,-8.145,0,0.069,0.171,0.0,0.131,190.066,161840
"4*TOWN (From Disney and Pixar’s Turning Red), Jordan Fisher, Finneas O'Connell, Topher Ngo, Grayson Villanueva, Josh Levi",Nobody Like U,157,1,0.905,0.631,9,-10.06,0,0.177,0.129,0.0,0.101,105.026,160947
"TINI, Becky G, Anitta",La Loto,157,2,0.855,0.83,1,-2.815,1,0.106,0.0783,1.31e-06,0.08,90.009,190667
Childish Gambino,Me and Your Mama,158,2,0.554,0.433,5,-12.628,1,0.0341,0.0116,0.0449,0.0667,117.996,379227
"Alvaro Diaz, Rauw Alejandro",Problemón,158,1,0.706,0.739,10,-3.753,1,0.0586,0.266,2.62e-05,0.126,91.906,192613
